localTeam,visitorTeam,localGoals,visitorGoals
Uruguay,Brazil,0,1
Argentina,Uruguay,3,1
Uruguay,Argentina,1,2
Argentina,Uruguay,7,2
Uruguay,Argentina,0,1
Sweden,Denmark,4,0
Uruguay,Argentina,3,1
Denmark,Sweden,1,1
Uruguay,Argentina,0,2
Argentina,Uruguay,1,0
Uruguay,Argentina,1,0
Argentina,Brazil,4,2
Uruguay,Brazil,4,0
Sweden,Denmark,1,2
Uruguay,Argentina,1,0
Uruguay,Brazil,3,1
Denmark,Sweden,3,0
Uruguay,Argentina,1,1
Uruguay,Argentina,3,1
Argentina,Uruguay,0,0
Argentina,Uruguay,2,1
Uruguay,Argentina,1,1
Argentina,Uruguay,2,0
Sweden,Denmark,1,2
Belgium,France,2,2
Argentina,Uruguay,2,3
Brazil,Argentina,3,1
Brazil,Uruguay,2,2
Brazil,Uruguay,1,0
Brazil,Argentina,3,3
Denmark,Sweden,3,0
Uruguay,Argentina,4,1
Uruguay,Argentina,2,1
Argentina,Uruguay,1,2
Sweden,Denmark,3,0
Argentina,Uruguay,6,1
Uruguay,Argentina,4,2
Switzerland,France,0,2
France,Belgium,2,1
Sweden,Switzerland,0,1
Switzerland,Germany,4,1
Uruguay,Argentina,2,0
Argentina,Uruguay,1,3
Argentina,Uruguay,1,0
Uruguay,Argentina,1,1
Brazil,Uruguay,0,6
Argentina,Brazil,2,0
Sweden,Denmark,0,2
Belgium,France,3,1
Belgium,England,0,2
Argentina,Brazil,1,0
Sweden,Denmark,0,0
Brazil,Uruguay,1,2
Argentina,Uruguay,1,0
Spain,Portugal,3,1
France,Belgium,2,1
Germany,Switzerland,2,2
Belgium,Denmark,0,0
France,Spain,0,4
Sweden,Poland,1,2
Brazil,Uruguay,0,0
Denmark,Sweden,1,2
Argentina,Uruguay,0,1
Brazil,Argentina,2,0
Brazil,Argentina,2,1
Uruguay,Argentina,1,0
Uruguay,Argentina,1,0
Argentina,Uruguay,2,2
Portugal,Spain,1,2
Spain,France,3,0
Belgium,Spain,1,0
Belgium,France,4,1
England,Belgium,6,1
France,Switzerland,2,2
France,England,1,4
Sweden,England,2,4
Sweden,England,1,3
Switzerland,Germany,1,2
Denmark,Switzerland,3,2
Argentina,Uruguay,0,0
Sweden,Germany,2,1
Argentina,Uruguay,2,2
Uruguay,Argentina,2,2
Uruguay,Argentina,0,2
Sweden,Denmark,1,3
Belgium,England,2,2
Poland,Sweden,2,2
Argentina,Brazil,2,1
Uruguay,Brazil,2,1
Argentina,Brazil,0,2
Uruguay,Argentina,2,0
Argentina,Brazil,2,0
Spain,Portugal,3,0
France,Belgium,2,0
Switzerland,France,3,0
Switzerland,Denmark,2,0
France,England,1,3
Sweden,Poland,5,1
Argentina,Uruguay,4,0
Uruguay,Argentina,2,0
Denmark,Sweden,2,3
Germany,Sweden,1,4
Uruguay,Argentina,1,1
Argentina,Uruguay,2,1
Denmark,Belgium,2,1
Uruguay,Argentina,0,0
Belgium,France,3,0
England,Belgium,4,0
Germany,Switzerland,1,1
France,England,2,3
Switzerland,Belgium,0,0
Switzerland,Spain,0,3
Sweden,Denmark,0,2
Sweden,Germany,1,0
Switzerland,Germany,0,4
Poland,Sweden,2,6
Argentina,Brazil,4,1
Argentina,Brazil,2,2
France,Belgium,4,3
France,Portugal,4,2
France,Switzerland,1,0
Belgium,England,3,5
Belgium,France,2,2
Germany,Sweden,3,3
Denmark,Sweden,2,0
Sweden,Poland,3,1
Argentina,Uruguay,0,2
Germany,Switzerland,2,3
Portugal,France,4,0
Belgium,Sweden,2,1
Spain,Switzerland,1,0
Belgium,England,1,9
France,Spain,1,4
France,England,0,6
Sweden,Denmark,0,0
Uruguay,Argentina,0,1
Argentina,Uruguay,0,1
Sweden,Belgium,7,0
Denmark,Germany,3,1
Peru,Uruguay,0,4
Switzerland,Sweden,2,2
Argentina,Uruguay,3,2
Peru,Argentina,1,5
Portugal,Spain,2,2
Switzerland,France,4,3
Portugal,Argentina,0,0
France,Belgium,2,3
Switzerland,Germany,2,3
France,Portugal,1,1
France,England,1,5
Belgium,England,1,3
Poland,Sweden,2,1
Argentina,Uruguay,1,0
Germany,Denmark,2,1
Uruguay,Argentina,2,2
Sweden,Germany,2,0
Denmark,Sweden,3,1
Germany,Switzerland,7,1
Spain,Portugal,5,0
France,Portugal,2,0
Spain,France,8,1
France,England,1,4
Belgium,England,1,5
Spain,England,4,3
Belgium,France,4,1
Argentina,Uruguay,2,0
Sweden,Denmark,3,2
Uruguay,Argentina,1,1
Germany,Sweden,3,0
Uruguay,Argentina,2,1
Argentina,Uruguay,0,0
Argentina,Peru,3,0
Peru,Uruguay,1,4
Argentina,Uruguay,2,0
Portugal,France,2,0
France,Switzerland,3,3
France,Belgium,1,6
Switzerland,Germany,0,5
Germany,England,3,3
Argentina,Uruguay,1,1
Belgium,France,1,2
Belgium,Portugal,2,1
Sweden,Switzerland,1,0
Denmark,Sweden,6,1
France,Mexico,4,1
Argentina,France,1,0
Uruguay,Peru,1,0
Argentina,Mexico,6,3
Uruguay,Argentina,4,2
Brazil,France,3,2
Denmark,Germany,6,3
Belgium,Sweden,2,2
Sweden,Poland,0,3
Portugal,Spain,0,1
France,Belgium,2,2
France,Germany,1,0
France,England,5,2
Belgium,England,1,4
Portugal,Belgium,3,2
Sweden,Germany,0,0
Sweden,Denmark,3,1
Brazil,Uruguay,2,0
Germany,Denmark,4,2
Belgium,Poland,2,1
Belgium,Switzerland,2,1
England,Spain,7,1
Germany,Switzerland,2,0
Switzerland,France,3,3
Belgium,France,5,2
Argentina,Uruguay,2,0
Uruguay,Argentina,1,0
Denmark,Belgium,3,4
Sweden,Belgium,3,1
Denmark,Sweden,3,1
Poland,Sweden,2,0
Germany,Sweden,4,3
Switzerland,Sweden,2,1
Uruguay,Brazil,1,2
Uruguay,Argentina,2,1
Argentina,Uruguay,4,1
Switzerland,Belgium,3,3
Germany,France,3,3
France,Belgium,3,0
Spain,Portugal,3,0
France,Spain,1,0
Switzerland,England,0,4
Poland,Belgium,0,1
Sweden,Denmark,2,3
Germany,Belgium,8,1
Switzerland,Germany,0,2
Belgium,Denmark,2,2
Germany,Poland,1,0
England,France,4,1
Uruguay,Argentina,0,1
Belgium,France,2,3
France,Switzerland,0,1
Spain,Portugal,9,0
Portugal,Spain,1,2
Denmark,Poland,4,2
Sweden,Poland,4,2
Argentina,Sweden,2,3
Belgium,Germany,2,5
Brazil,Spain,1,3
Germany,Sweden,2,1
Denmark,Sweden,3,5
Uruguay,Argentina,2,2
Argentina,Uruguay,1,0
Poland,Germany,2,5
Denmark,Germany,2,5
Peru,Uruguay,0,1
Peru,Argentina,1,4
Spain,France,2,0
Argentina,Uruguay,0,3
Germany,Switzerland,4,0
France,Germany,1,3
Belgium,France,1,1
Belgium,Germany,1,6
Portugal,Spain,3,3
Germany,Spain,1,2
Belgium,Switzerland,2,2
Sweden,Denmark,3,1
Sweden,Germany,3,1
Uruguay,Argentina,1,1
Argentina,Uruguay,3,0
Germany,Poland,1,0
Switzerland,France,2,1
France,Sweden,2,0
Belgium,Sweden,5,1
England,Germany,3,0
Belgium,Poland,0,2
Spain,Germany,1,2
Portugal,Germany,1,3
France,Belgium,3,0
Switzerland,Spain,0,2
Belgium,England,3,2
Switzerland,Belgium,1,1
Denmark,Sweden,4,3
Sweden,Switzerland,5,2
Argentina,Uruguay,1,0
Poland,Germany,1,1
Uruguay,Argentina,2,1
Denmark,Poland,2,1
Brazil,Peru,3,2
Peru,Uruguay,2,4
Argentina,Peru,1,0
Brazil,Uruguay,3,2
Argentina,Uruguay,2,3
Argentina,Brazil,1,0
Argentina,Brazil,2,0
Belgium,France,3,1
Germany,France,4,0
Belgium,Switzerland,1,2
Germany,Belgium,1,0
Switzerland,Germany,0,1
Germany,Denmark,8,0
Sweden,England,0,4
Poland,Sweden,3,1
Poland,Denmark,3,1
Sweden,Denmark,1,2
France,Switzerland,2,1
Uruguay,Argentina,0,3
Argentina,Uruguay,5,1
Germany,Sweden,5,0
Spain,Portugal,1,2
France,Belgium,5,3
Portugal,Spain,1,0
Germany,Switzerland,1,1
Switzerland,Poland,3,3
Germany,Portugal,1,1
Switzerland,Portugal,2,1
Switzerland,Belgium,0,3
Germany,England,3,6
Switzerland,England,2,1
France,England,2,4
Germany,Switzerland,1,1
Brazil,Poland,6,5
France,Belgium,3,1
Germany,Switzerland,2,4
Argentina,Uruguay,1,0
Brazil,Sweden,4,2
Denmark,Sweden,0,1
Colombia,Peru,2,4
Germany,Poland,4,1
Uruguay,Argentina,2,3
Switzerland,Portugal,1,0
Brazil,Argentina,1,5
Brazil,Argentina,3,2
France,Poland,4,0
Belgium,Germany,1,4
Peru,Uruguay,2,1
Portugal,Switzerland,2,4
Belgium,Switzerland,1,2
Belgium,France,1,3
Poland,Belgium,3,3
Poland,Switzerland,1,1
Denmark,Germany,0,2
Sweden,Denmark,4,1
France,Portugal,3,2
Brazil,Argentina,2,2
Brazil,Argentina,0,3
Argentina,Brazil,6,1
Argentina,Brazil,2,3
Argentina,Brazil,5,1
Brazil,Uruguay,3,4
Brazil,Uruguay,1,1
Croatia,Switzerland,4,0
Switzerland,Croatia,0,1
Uruguay,Argentina,3,0
Argentina,Uruguay,5,0
Sweden,Denmark,1,1
Denmark,Sweden,3,3
Germany,Denmark,1,0
Portugal,Spain,2,2
Peru,Argentina,1,1
Peru,Argentina,1,1
Peru,Argentina,0,3
Argentina,Peru,2,1
Argentina,Uruguay,1,0
Peru,Uruguay,0,2
Germany,Switzerland,4,2
Spain,Portugal,5,1
Switzerland,Germany,2,1
Costa Rica,Panama,7,0
Germany,Croatia,5,1
Sweden,Denmark,2,2
Sweden,Germany,4,2
Denmark,Sweden,2,1
Germany,Denmark,1,1
Spain,Switzerland,3,2
Portugal,Switzerland,3,0
Argentina,Brazil,2,1
Brazil,Peru,2,1
Uruguay,Brazil,1,0
Argentina,Peru,3,1
Germany,Switzerland,1,2
Uruguay,Peru,3,0
Uruguay,Argentina,1,0
France,Switzerland,0,2
Spain,France,4,0
Germany,Spain,1,1
Argentina,Uruguay,4,1
Denmark,Sweden,0,3
Uruguay,Argentina,1,1
Germany,Sweden,2,3
Sweden,Denmark,2,1
Switzerland,Germany,3,5
Germany,Croatia,5,1
Switzerland,Sweden,3,1
Argentina,Uruguay,3,3
Switzerland,Croatia,1,0
Uruguay,Argentina,0,1
Sweden,Switzerland,1,0
Denmark,Sweden,3,2
Brazil,Uruguay,6,1
Brazil,Uruguay,4,0
France,Belgium,3,1
Brazil,Colombia,3,0
Colombia,Uruguay,0,7
Argentina,Colombia,9,1
Brazil,Uruguay,3,0
Argentina,Brazil,3,1
Argentina,Uruguay,1,0
Portugal,Spain,2,2
Switzerland,France,1,0
Spain,Portugal,4,2
Switzerland,Portugal,1,0
England,France,2,2
Sweden,Denmark,2,1
Denmark,Sweden,3,4
Uruguay,Argentina,2,2
Switzerland,England,3,1
Argentina,Uruguay,6,2
Sweden,Denmark,4,1
Switzerland,Sweden,3,0
Belgium,France,2,1
Brazil,Argentina,3,4
Brazil,Argentina,6,2
Brazil,Argentina,3,1
Uruguay,Brazil,4,3
England,Belgium,2,0
Brazil,Uruguay,4,3
Argentina,Uruguay,3,1
Argentina,Brazil,2,0
Costa Rica,Panama,7,0
Portugal,France,2,1
England,Switzerland,4,1
France,England,2,1
Denmark,Sweden,3,1
Sweden,Switzerland,7,2
Iceland,Denmark,0,3
Sweden,Denmark,3,3
Portugal,Switzerland,2,2
Portugal,Spain,4,1
France,Portugal,1,0
Uruguay,Brazil,0,0
Brazil,Uruguay,3,2
England,France,3,0
Switzerland,England,1,0
Portugal,England,0,10
France,Belgium,4,2
Switzerland,France,1,2
Denmark,Sweden,1,4
Sweden,Denmark,6,1
Sweden,Poland,5,4
Belgium,England,2,5
Switzerland,Belgium,4,0
England,Sweden,4,2
Portugal,France,2,4
Colombia,Uruguay,0,2
Argentina,Peru,3,2
Argentina,Colombia,6,0
Colombia,Peru,1,5
Peru,Uruguay,0,1
Argentina,Uruguay,3,1
Costa Rica,Panama,3,1
Spain,Portugal,2,0
Uruguay,Brazil,1,1
Uruguay,Brazil,4,2
Belgium,France,4,2
Switzerland,Spain,3,3
Denmark,Poland,8,0
Denmark,England,0,0
Sweden,Denmark,1,0
France,Belgium,3,3
England,Switzerland,6,0
Spain,Belgium,1,1
Portugal,Spain,1,1
Colombia,Peru,0,4
Brazil,Colombia,5,0
Brazil,Peru,7,1
Uruguay,Colombia,2,2
Brazil,Uruguay,5,1
Peru,Uruguay,4,3
Sweden,England,3,1
France,England,1,3
France,Switzerland,4,2
France,Spain,1,5
Poland,Denmark,1,2
Denmark,Iceland,5,1
Belgium,Switzerland,3,0
Denmark,Sweden,3,2
Croatia,Serbia,4,1
Spain,Portugal,5,1
Portugal,Spain,2,2
Brazil,Uruguay,3,4
Brazil,Uruguay,3,2
Portugal,England,3,5
Belgium,England,1,4
Belgium,France,4,1
Brazil,Mexico,4,0
Brazil,Switzerland,2,2
England,Spain,0,1
Mexico,Switzerland,1,2
Brazil,Sweden,7,1
Spain,Uruguay,2,2
Brazil,Spain,6,1
Sweden,Uruguay,2,3
Brazil,Uruguay,1,2
Spain,Sweden,1,3
Sweden,Denmark,4,0
France,Belgium,3,3
Switzerland,Sweden,4,2
Germany,Switzerland,1,0
Spain,Switzerland,6,3
Panama,Costa Rica,2,0
Panama,Costa Rica,1,1
Switzerland,Germany,2,3
England,Argentina,2,1
England,Portugal,5,2
Belgium,Spain,3,3
Portugal,Belgium,1,1
Sweden,Spain,0,0
Iceland,Sweden,4,3
England,France,2,2
Switzerland,France,1,2
Denmark,Sweden,3,1
Mexico,Uruguay,1,3
Panama,Peru,1,7
France,Sweden,0,1
Peru,Uruguay,2,5
Brazil,Mexico,2,0
Panama,Uruguay,1,6
Brazil,Peru,0,0
Mexico,Panama,4,2
Brazil,Panama,5,0
Brazil,Uruguay,4,2
France,Portugal,3,0
Mexico,Peru,0,3
Belgium,France,1,2
Switzerland,England,0,3
Denmark,Sweden,0,2
Sweden,Denmark,4,3
France,Germany,3,1
Germany,Switzerland,5,1
England,Belgium,5,0
Spain,Argentina,0,1
Portugal,Argentina,1,3
France,Belgium,0,1
Spain,Germany,2,2
Costa Rica,Panama,3,0
Brazil,Uruguay,1,0
Peru,Brazil,1,0
Spain,Belgium,3,1
Peru,Uruguay,0,3
Argentina,England,3,1
Argentina,England,0,0
Sweden,Belgium,2,3
Uruguay,England,2,1
Sweden,France,1,0
Denmark,Sweden,1,3
Switzerland,Denmark,1,4
Argentina,Spain,1,0
Denmark,Iceland,4,0
Belgium,Sweden,2,0
Spain,Sweden,2,2
France,Switzerland,2,4
Switzerland,Belgium,2,2
Japan,Korea Republic,1,5
Belgium,Portugal,0,0
Japan,Korea Republic,2,2
Switzerland,Germany,3,5
Switzerland,Uruguay,3,3
Belgium,France,3,3
Brazil,Mexico,5,0
Belgium,England,4,4
France,Mexico,3,2
Switzerland,England,0,2
England,Uruguay,2,4
Sweden,Iceland,3,2
Russia,Sweden,7,0
Denmark,Switzerland,1,1
Belgium,Germany,2,0
Sweden,Denmark,5,2
Germany,France,1,3
France,Belgium,2,2
Portugal,Argentina,1,3
England,Germany,3,1
Portugal,Germany,0,3
Spain,France,1,2
Argentina,Uruguay,6,1
Peru,Uruguay,2,1
France,Sweden,2,0
Argentina,Peru,2,2
France,England,1,0
Spain,England,1,1
Portugal,England,3,1
Switzerland,Spain,0,3
Sweden,Russia,0,6
Iceland,Denmark,0,4
Russia,Germany,3,2
Denmark,England,1,5
Switzerland,France,1,2
Denmark,Sweden,3,3
Russia,France,2,2
Portugal,Sweden,2,6
England,Spain,4,1
Belgium,France,2,1
Argentina,Peru,2,1
Uruguay,Peru,2,0
Brazil,Peru,2,1
Argentina,Brazil,0,1
Uruguay,Brazil,0,0
Uruguay,Argentina,1,0
Mexico,Costa Rica,1,1
Argentina,Peru,0,0
Mexico,Peru,0,2
Argentina,Costa Rica,4,3
Brazil,Peru,1,0
Mexico,Brazil,1,2
Belgium,Switzerland,1,3
Brazil,Costa Rica,7,1
Mexico,Argentina,0,0
Costa Rica,Peru,4,2
Argentina,Brazil,2,2
Portugal,Brazil,0,1
Switzerland,Brazil,1,1
England,Brazil,4,2
Sweden,England,0,0
Russia,Denmark,5,1
Portugal,Spain,3,1
Brazil,Uruguay,2,0
Sweden,Germany,2,2
Denmark,Russia,2,5
Uruguay,Argentina,1,2
Argentina,Brazil,0,0
Germany,Russia,1,2
Uruguay,Argentina,1,2
France,Russia,2,1
Sweden,Denmark,1,1
France,Belgium,6,3
Argentina,Uruguay,2,2
Germany,Switzerland,1,3
England,Denmark,5,2
Germany,Belgium,4,1
Spain,Switzerland,2,2
Argentina,Colombia,8,2
Colombia,Uruguay,1,0
Argentina,Uruguay,4,0
Peru,Uruguay,3,5
Brazil,Colombia,9,0
Peru,Colombia,4,1
Brazil,Uruguay,2,3
Belgium,Spain,0,5
Peru,Brazil,0,1
Argentina,Brazil,3,0
Peru,Argentina,2,1
Peru,Argentina,1,4
Peru,Brazil,1,1
Brazil,Peru,1,0
Denmark,England,1,4
Uruguay,Argentina,0,0
France,Iceland,8,0
Argentina,Uruguay,1,1
Belgium,Iceland,8,3
Brazil,Portugal,2,1
Brazil,Portugal,3,0
Colombia,Uruguay,1,1
Russia,Poland,3,0
Denmark,Sweden,1,2
Uruguay,Colombia,1,0
Brazil,Argentina,1,2
Brazil,Argentina,2,0
Iceland,Denmark,2,6
Iceland,France,1,5
Iceland,Belgium,2,5
Mexico,Costa Rica,2,0
Poland,Russia,2,1
Belgium,France,0,0
Costa Rica,Mexico,1,1
Germany,Sweden,1,0
Poland,Russia,0,2
Switzerland,Spain,1,4
England,France,4,0
Belgium,Germany,0,2
France,Spain,2,2
Germany,Spain,2,0
Uruguay,Argentina,1,0
Spain,Portugal,1,0
France,Switzerland,0,0
Argentina,Uruguay,2,0
England,Portugal,2,1
Sweden,Switzerland,3,2
Russia,England,1,1
Denmark,Poland,3,2
Switzerland,Belgium,0,2
Argentina,Germany,1,3
England,Russia,2,2
Sweden,Mexico,3,0
Brazil,England,0,0
Brazil,Russia,2,0
England,Russia,0,1
Sweden,Russia,2,0
Brazil,France,5,2
Sweden,Germany,3,1
France,Germany,6,3
Sweden,Brazil,2,5
Denmark,Germany,1,1
England,Russia,5,0
France,Germany,2,2
Sweden,Denmark,4,4
France,Belgium,2,2
Mexico,Costa Rica,3,1
Costa Rica,Mexico,1,2
Brazil,Peru,2,2
Peru,Uruguay,5,3
Argentina,Peru,3,1
Brazil,Uruguay,3,1
Argentina,Uruguay,4,1
Argentina,Brazil,1,1
Brazil,England,2,0
Switzerland,Portugal,4,3
Peru,England,4,1
Germany,Poland,1,1
Sweden,Portugal,2,0
Mexico,England,2,1
Denmark,Sweden,0,6
Poland,Spain,2,4
Japan,Korea Republic,0,0
Japan,Korea Republic,1,3
Switzerland,Germany,0,4
Spain,Poland,3,0
England,Sweden,2,3
France,Portugal,5,3
Brazil,Uruguay,0,3
Argentina,Uruguay,0,5
France,Spain,4,3
Argentina,Brazil,4,1
Belgium,France,1,0
Brazil,Mexico,2,2
Costa Rica,Argentina,0,0
Argentina,Mexico,3,2
Costa Rica,Brazil,3,0
Argentina,Brazil,2,1
Brazil,Mexico,2,1
Costa Rica,Argentina,0,2
Argentina,Mexico,2,0
Costa Rica,Brazil,0,4
Argentina,Brazil,0,1
Belgium,Switzerland,3,1
Germany,Portugal,2,1
Denmark,Brazil,3,4
Spain,England,3,0
Russia,Poland,7,1
Argentina,Brazil,4,2
Argentina,Brazil,1,4
Uruguay,Brazil,1,0
Peru,Spain,1,3
Brazil,Argentina,5,1
Argentina,Spain,2,0
Iceland,Germany,0,5
Argentina,Uruguay,4,0
Poland,France,2,2
Switzerland,France,6,2
Sweden,Belgium,2,0
Sweden,Denmark,2,0
England,Spain,4,2
Morocco,Tunisia,2,1
Sweden,France,1,0
Korea Republic,Japan,2,1
Tunisia,Morocco,2,1
Belgium,Switzerland,2,4
Morocco,Tunisia,1,1
Germany,Belgium,1,0
France,Belgium,1,1
Costa Rica,Mexico,1,0
Spain,France,2,0
Mexico,Costa Rica,4,1
Colombia,Peru,1,0
Peru,Colombia,1,1
England,Mexico,8,0
Switzerland,Belgium,2,1
Poland,Russia,1,0
Portugal,England,1,1
Sweden,Switzerland,4,0
Portugal,Argentina,0,2
Japan,Korea Republic,0,2
Spain,Argentina,2,0
Denmark,Sweden,1,2
Russia,Argentina,0,0
Germany,Denmark,5,1
Belgium,Sweden,0,2
Poland,Germany,0,2
Belgium,France,3,0
England,Portugal,2,0
Switzerland,Sweden,3,2
Poland,Denmark,5,0
Morocco,Spain,0,1
Switzerland,Sweden,2,1
Argentina,Russia,1,2
Spain,Morocco,3,2
Nigeria,Tunisia,2,1
Uruguay,Russia,1,2
France,Spain,1,1
Tunisia,Nigeria,2,0
Uruguay,Argentina,1,1
Argentina,Mexico,1,0
Colombia,Mexico,0,1
Colombia,Mexico,2,2
France,Poland,1,3
Germany,Uruguay,3,0
Morocco,Poland,1,3
Sweden,Russia,0,2
Mexico,Colombia,1,0
Russia,Uruguay,5,0
Brazil,Portugal,2,1
Brazil,Portugal,1,0
England,Switzerland,3,1
Portugal,Belgium,1,2
Peru,England,0,4
Poland,Belgium,2,0
Brazil,Mexico,2,0
Colombia,Uruguay,1,2
Argentina,England,1,3
Colombia,Russia,4,4
Germany,Switzerland,2,1
Mexico,Spain,0,1
Brazil,Spain,2,1
Russia,Uruguay,2,1
Brazil,England,3,1
Argentina,Uruguay,3,1
England,France,1,1
Poland,Morocco,1,1
Germany,France,2,2
Sweden,Denmark,4,2
Belgium,Spain,1,1
Germany,Switzerland,5,1
Spain,France,0,0
Morocco,Switzerland,1,0
France,England,5,2
Nigeria,Senegal,4,0
Argentina,Colombia,4,2
Brazil,Peru,1,0
Argentina,Peru,1,2
Brazil,Colombia,5,1
Argentina,Brazil,3,0
Colombia,Peru,1,1
Costa Rica,Mexico,0,0
Brazil,Argentina,2,3
Brazil,Argentina,5,2
Portugal,Brazil,1,0
Belgium,Brazil,5,1
France,Brazil,2,3
Germany,Brazil,1,2
England,Brazil,1,1
Russia,Sweden,0,1
Switzerland,England,1,8
Morocco,Tunisia,4,2
Korea Republic,Japan,1,1
Colombia,Costa Rica,4,5
Colombia,Costa Rica,1,0
Denmark,Sweden,2,2
Sweden,Germany,2,1
France,Switzerland,2,2
Morocco,Russia,1,1
Spain,Belgium,1,2
Tunisia,Algeria,0,0
France,Belgium,1,2
Morocco,Germany,1,4
Algeria,Germany,2,0
Switzerland,Belgium,2,0
Switzerland,Portugal,2,3
Belgium,Portugal,1,2
England,Uruguay,2,1
Sweden,Russia,1,1
Portugal,England,3,4
Russia,Uruguay,1,0
Russia,Sweden,3,1
Brazil,England,5,1
Argentina,Portugal,2,0
Brazil,Argentina,0,3
England,Portugal,1,1
Argentina,England,1,0
Brazil,Portugal,4,1
Denmark,Russia,0,3
Spain,Russia,2,1
Sweden,Denmark,4,1
Sweden,Poland,3,3
England,Belgium,2,2
Algeria,Russia,2,2
Germany,Sweden,1,1
Portugal,Spain,2,1
Belgium,France,3,0
Tunisia,Morocco,0,0
Costa Rica,Mexico,1,1
Belgium,Poland,0,0
Costa Rica,Mexico,0,0
Morocco,Tunisia,0,1
Germany,England,0,1
Mexico,Costa Rica,1,0
Sweden,England,1,2
Switzerland,Germany,0,1
Brazil,Belgium,5,0
France,Argentina,0,0
Brazil,Germany,2,0
Peru,Uruguay,0,1
Brazil,Argentina,0,0
Uruguay,Peru,2,1
Algeria,Brazil,0,3
Denmark,Sweden,2,1
Portugal,Brazil,0,0
Russia,Denmark,6,0
Sweden,Brazil,1,2
Russia,Brazil,0,3
Iceland,Denmark,1,3
Brazil,Uruguay,3,0
Sweden,Germany,1,2
Denmark,Russia,1,3
Algeria,Morocco,0,0
Tunisia,Senegal,0,0
Brazil,Russia,2,2
Argentina,Russia,1,1
Uruguay,Russia,1,3
Spain,England,0,2
England,Poland,1,1
England,Germany,1,0
Morocco,Algeria,1,0
France,Belgium,0,3
Switzerland,Russia,2,2
Poland,Sweden,1,1
Belgium,Russia,0,1
Brazil,Peru,4,0
Brazil,Poland,4,1
Russia,France,3,3
Brazil,Poland,2,1
Brazil,Peru,3,1
Argentina,Poland,1,1
Switzerland,Mexico,1,1
Denmark,Portugal,1,3
Spain,Uruguay,1,1
Portugal,Uruguay,3,0
Sweden,Brazil,2,3
Denmark,England,0,2
Poland,England,0,1
England,Uruguay,0,0
Germany,Switzerland,5,0
Argentina,Spain,2,1
France,Mexico,1,1
France,Uruguay,1,2
Spain,Switzerland,2,1
Argentina,Germany,0,0
England,Mexico,2,0
Argentina,Switzerland,2,0
Brazil,Portugal,1,3
Mexico,Uruguay,0,0
England,France,2,0
Germany,Spain,2,1
England,Argentina,1,0
Germany,Uruguay,4,0
Germany,Russia,2,1
England,Portugal,2,1
Portugal,Russia,2,1
England,Germany,4,2
Belgium,Switzerland,1,0
France,Poland,2,1
Sweden,Denmark,2,1
Belgium,France,2,1
Portugal,Sweden,1,2
Algeria,Morocco,2,2
Mexico,Switzerland,3,0
Mexico,Switzerland,0,2
Uruguay,Argentina,1,0
Germany,Morocco,5,1
Poland,Belgium,3,1
England,Spain,2,0
Russia,Mexico,2,0
Russia,Mexico,0,1
Sweden,Portugal,1,1
France,Russia,2,4
Denmark,Sweden,1,1
